bgyear,bgcitizen,bgmajor,bgmultimajor,bggender,gender,age,bgethnicity,race,bgmap2,pk1,pkpic2a,pk2,pkpic4a,pk3,pkhousemajority,pk4,pksenatemajority,pk5,pkoverride,pk6,pkpic5a,pk7,pknotnato,pk8,Q111,pk9,Q109,pk10,bgpk,gen,gen1,Q83,gen2,Q84,psc,Q85,psmm,Q86,undrgd,Q87,faculty,Q88,family,Q89,genpop,Q90,reps,Q91,dems,perception,p2,Q92_1,Q93_1,Q94_1,Q95_1,Q96_1,Q97_1,Q98_1,Q99_1,Q100_1,Q101_1,eff,ineff,exeff,eligible,midterm,vote,,volunteer,,sns,,button,,letter,,march,,money,,rally,,meeting,,part,prospect,Q114,,Q115_1,Q116,,Q117_1,Q118,,Q119_1,Q120,,Q121_1,Q122,trade,Q123_1,retro,real,aggpk,conf
Senior,Yes,I have more than one major,"Political Science,Natural Sciences (e.g., Chemistry, Biology, Physics)",Male,1,21,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Majority of the House and Senate,0,Germany,1,Russia,1,Brett Kavanaugh,1,"PR districts elect their district representatives directly, whereas SMD districts elect their representatives indirectly.",0,8,Far above average,1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,0.964285714,0.972222222,10,10,0,10,10,10,5,2,7,10,7.4,8,6,Yes,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,0.888888889,4,Mexico,1,6,Theresa May,1,10,each voter has a chance to rank the candidates in order of preference,1,4,lower than 5.0%,1,6,China,1,4,3,5,22,6
Senior,Yes,I have more than one major,"Political Science,Social Sciences (e.g., Psychology, Sociology, Anthropology),Humanities (e.g., English, History, Philosophy)",Male,1,21,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and three quarters of the Senate,0,Germany,1,Russia,1,Brett Kavanaugh,1,SMD systems tend to have greater magnitude than PR systems do at the national level.,0,8,Far above average,1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very low, in the bottom 25th percentile",0.25,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,0.892857143,0.916666667,8,8,1,8,8,8,5,8,5,8,6.7,6.6,6.5,Yes,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,No,0,Yes,1,Yes,1,0.777777778,4,Mexico,1,9,Theresa May,1,10,each voter has a chance to rank the candidates in order of preference,1,10,lower than 5.0%,1,10,China,1,10,5,5,22,9.8
Senior,Yes,Political Science,,Male,1,21,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and Senate,1,Germany,1,Russia,1,Brett Kavanaugh,1,SMD systems tend to have greater magnitude than PR systems do at the national level.,0,9,Far above average,1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,0.964285714,0.972222222,8,9,2,7,9,9,5,6,10,7,7.2,7,7,Yes,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,0.888888889,5,Mexico,1,8,Theresa May,1,10,each voter has a chance to rank the candidates in order of preference,1,10,lower than 5.0%,1,10,Mexico,0,3,4,4,22,8.2
Senior,Yes,I have more than one major,"Political Science,Natural Sciences (e.g., Chemistry, Biology, Physics)",Female,0,21,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and three quarters of the Senate,0,Germany,1,Russia,1,Brett Kavanaugh,1,"PR districts elect their district representatives directly, whereas SMD districts elect their representatives indirectly.",0,8,Somewhat above average,0.75,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,0.642857143,0.666666667,7,6,5,4,6,8,5,4,7,8,6,5.6,6,Yes,Yes,Yes,1,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,Yes,1,Yes,1,0.777777778,3,Europe/Canada,0,2,Theresa May,1,9,"each voter has as many votes as there are choices, and can distribute those votes as desired",0,3,5.0-6.5%,0,2,China,1,2,3,2,18,3.6
Senior,Yes,Political Science,,Female,0,22,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and Senate,1,Germany,1,Poland,0,Brett Kavanaugh,1,Voters in a PR district elect more representatives than voters in an SMD district.,1,9,Somewhat above average,0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,0.785714286,0.777777778,8,7,5,9,9,7,6,7,6,7,7.1,7.6,6.5,Yes,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,No,0,Yes,1,Yes,1,0.777777778,4,Mexico,1,4,Theresa May,1,6,each voter has a chance to rank the candidates in order of preference,1,6,6.6-8.0%,0,3,China,1,4,2,4,19,4.6
Senior,Yes,Political Science,,Male,1,21,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and Senate,1,Germany,1,Russia,1,Brett Kavanaugh,1,SMD systems tend to have greater magnitude than PR systems do at the national level.,0,9,Far above average,1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,0.928571429,0.944444444,10,10,0,7,3,10,7,7,6,8,6.8,6,7,Yes,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,1,5,Mexico,1,7,Theresa May,1,10,each voter has a chance to rank the candidates in order of preference,1,10,lower than 5.0%,1,8,Canada,0,8,3,4,21,8.6
Senior,Yes,Political Science,,Female,0,21,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and three quarters of the Senate,0,Germany,1,Poland,0,Brett Kavanaugh,1,"PR districts elect their district representatives directly, whereas SMD districts elect their representatives indirectly.",0,7,Somewhat above average,0.75,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,0.607142857,0.638888889,6,6,2,2,6,3,2,2,2,1,3.2,4.4,1.75,Yes,Yes,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,Yes,1,No,0,0.333333333,2,Mexico,1,6,Theresa May,1,10,each voter has a chance to rank the candidates in order of preference,1,4,lower than 5.0%,1,10,China,1,4,2,5,18,6.8
Junior,Yes,Political Science,,Female,0,20,Caucasian/White,1,Passed gun control ballot measures,0,Elizabeth Warren,1,Secretary of State,0,Republican Party,1,Republican Party,1,Three quarters of the House and Senate,0,Denmark,0,Poland,0,Brett Kavanaugh,1,I do not know.,0,4,Somewhat below average,0.5,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,0.571428571,0.555555556,3,4,7,0,5,7,3,6,5,6,4.6,3.8,5,No,,Yes,1,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,0.222222222,2,Mexico,1,1,Theresa May,1,0,"each voter has as many votes as there are choices, and can distribute those votes as desired",0,0,6.6-8.0%,0,0,China,1,0,1,3,10,0.2
Junior,Yes,Political Science,,Female,0,20,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Three quarters of the House and Senate,0,Germany,1,Russia,1,Brett Kavanaugh,1,PR systems tend to have a greater number of districts than SMD systems.,0,8,Somewhat above average,0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,0.785714286,0.805555556,8,8,3,6,8,9,6,9,8,8,7.3,6.6,7.75,Yes,Yes,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,0.222222222,4,Mexico,1,10,Jeremy Corbyn,0,3,each voter votes for parties instead of for individual candidates,0,2,6.6-8.0%,0,3,China,1,7,2,2,17,5
Junior,Yes,Political Science,,Male,1,20,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and Senate,1,Germany,1,Russia,1,Brett Kavanaugh,1,Voters in a PR district elect more representatives than voters in an SMD district.,1,10,Far above average,1,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,0.892857143,0.888888889,8,8,2,6,8,8,7,8,7,7,6.9,6.4,7.25,Yes,Yes,Yes,1,Yes,1,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,0.444444444,5,Mexico,1,9,Theresa May,1,10,each voter has a chance to rank the candidates in order of preference,1,10,lower than 5.0%,1,10,China,1,10,5,5,22,9.8
Senior,Yes,Business,,Female,0,21,"Asian,Caucasian/White",0,Trump won in the election,1,Elizabeth Warren,1,Secretary of State,0,Republican Party,1,Republican Party,1,Three quarters of the House and two thirds of the Senate,0,Chile,0,Russia,1,Brett Kavanaugh,1,"PR districts elect their district representatives directly, whereas SMD districts elect their representatives indirectly.",0,6,Somewhat above average,0.75,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,0.857142857,0.833333333,7,7,4,7,8,9,6,5,6,5,6.4,6.6,5.5,Yes,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,No,0,No,0,Yes,1,0.666666667,3,Mexico,1,7,Theresa May,1,2,each voter votes for parties instead of for individual candidates,0,2,6.6-8.0%,0,2,China,1,5,3,3,12,3.6
Junior,Yes,Political Science,,Male,1,21,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and three quarters of the Senate,0,Denmark,0,Poland,0,Brett Kavanaugh,1,"PR districts elect their district representatives directly, whereas SMD districts elect their representatives indirectly.",0,6,Far above average,1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,0.75,0.777777778,7,7,8,6,5,6,4,4,6,4,5.7,6.6,4.5,Yes,Yes,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,Yes,1,No,0,0.222222222,5,Mexico,1,10,Tony Blair,0,0,each voter votes for parties instead of for individual candidates,0,0,lower than 5.0%,1,0,China,1,10,4,3,16,4
Senior,Yes,Other,,Female,0,20,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and Senate,1,Germany,1,Russia,1,Brett Kavanaugh,1,Voters in a PR district elect more representatives than voters in an SMD district.,1,10,Somewhat above average,0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,0.785714286,0.777777778,10,8,5,6,9,9,4,6,8,6,7.1,7.6,6,Yes,Yes,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,Yes,1,No,0,0.222222222,4,Mexico,1,7,Theresa May,1,4,each voter has a chance to rank the candidates in order of preference,1,1,5.0-6.5%,0,4,China,1,9,3,4,20,5
Senior,Yes,Political Science,,Female,0,19,Hispanic or Latino,0,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and Senate,1,Germany,1,Russia,1,Brett Kavanaugh,1,"PR districts elect their district representatives directly, whereas SMD districts elect their representatives indirectly.",0,9,Far above average,1,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,0.892857143,0.916666667,9,9,3,4,9,10,6,10,10,10,8,6.8,9,Yes,Yes,Yes,1,Yes,1,No,0,Yes,1,Yes,1,Yes,1,No,0,No,0,Yes,1,0.666666667,4,Mexico,1,8,Theresa May,1,10,each voter has a chance to rank the candidates in order of preference,1,6,lower than 5.0%,1,9,Canada,0,7,4,4,20,8
Junior,Yes,Political Science,,Female,0,20,African American/Black,0,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and Senate,1,Germany,1,Canada,0,Neil Gorsuch,0,PR systems tend to have a greater number of districts than SMD systems.,0,7,Somewhat above average,0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,0.785714286,0.805555556,10,10,10,10,10,10,0,0,0,6,6.6,10,1.5,Yes,Yes,No,0,No,0,No,0,Yes,1,No,0,No,0,No,0,Yes,1,No,0,0.222222222,3,South/East Asia,0,5,Gordon Brown,0,3,each voter votes for parties instead of for individual candidates,0,6,6.6-8.0%,0,6,China,1,5,2,1,11,5
