,psraid,sample,int_date,lang,state,cregion,density,usr,pew1,pk1,pew2,pk2,pew3,pk3,pew4,pk4,pew5,pk5,pew6,pk6,pew8,pk8,pew9,pk9,pew10,pk10,pew11,pk11,pkscore,ql1,ql1a,qc1,hh1,employ,marital,par,sex,age,recage,educ2,receduc,hisp,race,racethn,inc,reg,party,partyln,weight
11,100054,Landline,62217,English,Florida,South,4,Urban,John Kerry,0,Malcolm Turnbull,0,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Blue Dogs,0,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,7%,0,6,"Yes, have cell phone",NA,NA,2,Employed part-time,Never been married,No,Male,70,65+,"Some college, no degree (includes some community college)",Some coll/Assoc degree,No,White,White~Hisp,"$10,000 to under $20,000",Are you NOT registered to vote at your current address,Independent,Democratic,3.047619048
12,100067,Landline,62217,English,Pennsylvania,Northeast,3,Suburban,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Refused,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,Mosquitoes,1,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,1,"Yes, have cell phone",NA,NA,2,Not employed,Married,Yes,Female,40,35-44,"Some college, no degree (includes some community college)",Some coll/Assoc degree,Yes,White,Hispanic,"$75,000 to under $100,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,No preference (VOL.),Other/Don't know/Refused (VOL.),6.476190476
13,100072,Landline,62517,English,Ohio,Midwest,Highest,Suburban,Rex Tillerson,1,Emmanuel Macron,1,the head of the EPA,0,James Comey,0,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,4%,1,8,"Yes, have cell phone",NA,NA,2,Not employed,Married,No,Female,63,55-64,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,White,White~Hisp,Don't know/Refused (VOL.),Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Independent,Republican,1.952380952
14,100077,Landline,62317,English,Florida,South,Highest,Urban,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,Mosquitoes,1,Paul Ryan,1,[VOL. DO NOT READ] Don't know,0,2,"Yes, have cell phone",NA,NA,3,Not employed,Living with a partner,Yes,Female,51,45-54,"Some college, no degree (includes some community college)",Some coll/Assoc degree,No,Black or African-American,AA~Hisp,"$10,000 to under $20,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,8.761904762
15,100098,Landline,62517,English,Georgia,South,3,Urban,Rex Tillerson,1,Emmanuel Macron,1,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,4%,1,10,"Yes, have cell phone",NA,NA,2,Not employed,Married,Yes,Male,46,45-54,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Coll+,No,White,White~Hisp,"$100,000 to under $150,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Independent,Other/Don't know/Refused (VOL.),4.047619048
16,100105,Landline,62217,English,New York,Northeast,Highest,Suburban,Rex Tillerson,1,Emmanuel Macron,1,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,4%,1,10,"Yes, have cell phone",NA,NA,2,Employed full-time,Married,Yes,Male,Refused (VOL.),DK/Ref,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,Asian or Pacific Islander,Other~Hisp,Don't know/Refused (VOL.),Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Republican,NA,1.666666667
17,100118,Landline,62317,English,Pennsylvania,Northeast,3,Suburban,Mitt Romney,0,Theresa May,0,a Supreme Court justice,1,Robert Mueller,1,Arsenic,0,The Blue Dogs,0,Hungary,0,Mosquitoes,1,Paul Ryan,1,4%,1,5,"Yes, have cell phone",NA,NA,1,Employed full-time,Never been married,No,Female,53,45-54,Two year associate degree from a college or university,Some coll/Assoc degree,No,White,White~Hisp,"$30,000 to under $40,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,4.380952381
18,100123,Landline,62417,English,Alabama,South,2,Suburban,Rex Tillerson,1,Emmanuel Macron,1,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,12%,0,9,"Yes, have cell phone",NA,NA,2,Not employed,Married,No,Female,70,65+,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,White,White~Hisp,"$40,000 to under $50,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,1.19047619
19,100138,Landline,62517,English,Missouri,Midwest,4,Urban,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,Sean Spicer,0,Lead,1,The Freedom Caucus,1,[VOL. DO NOT READ] Don't know,0,Mosquitoes,1,Mitch McConnell,0,4%,1,4,"Yes, have cell phone",NA,NA,2,Employed full-time,Living with a partner,No,Male,57,55-64,High school graduate (Grade 12 with diploma or GED certificate),HS Grad or less,Yes,White,Hispanic,"$50,000 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,2.666666667
20,100154,Landline,62517,English,Indiana,Midwest,3,Suburban,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,James Comey,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,The United Kingdom,1,Mosquitoes,1,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,2,"No, do not",No,NA,1,Not employed,Widowed,No,Female,94,65+,"Some college, no degree (includes some community college)",Some coll/Assoc degree,No,White,White~Hisp,"$40,000 to under $50,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Independent,Democratic,1.523809524
21,100162,Landline,62217,English,Pennsylvania,Northeast,3,Suburban,Rex Tillerson,1,Emmanuel Macron,1,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,7%,0,9,"Yes, have cell phone",NA,NA,2,Employed full-time,Married,No,Male,62,55-64,"Some college, no degree (includes some community college)",Some coll/Assoc degree,No,White,White~Hisp,"$50,000 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,4.333333333
22,100169,Landline,62517,English,Texas,South,Lowest,Suburban,Rex Tillerson,1,Emmanuel Macron,1,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,4%,1,10,"Yes, have cell phone",NA,NA,2,Not employed,Widowed,No,Female,69,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Coll+,No,White,White~Hisp,"$30,000 to under $40,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Independent,Republican,1
23,100170,Landline,62217,English,Texas,South,Highest,Suburban,Rex Tillerson,1,[VOL. DO NOT READ] Don't know,0,a Supreme Court justice,1,Robert Mueller,1,Lead,1,[VOL. DO NOT READ] Don't know,0,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,4%,1,8,"Yes, have cell phone",NA,NA,3,Not employed,Married,Yes,Male,63,55-64,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,Black or African-American,AA~Hisp,"$40,000 to under $50,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Independent,Democratic,2.238095238
24,100171,Landline,62217,English,Minnesota,Midwest,Highest,Suburban,Scott Pruitt,0,[VOL. DO NOT READ] Don't know,0,a Senator,0,Robert Mueller,1,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,4%,1,7,"Yes, have cell phone",NA,NA,2,Not employed,Married,No,Female,66,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Coll+,No,White,White~Hisp,"$150,000 or over",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,1.857142857
25,100174,Landline,62317,English,Virginia,South,Lowest,Rural,Rex Tillerson,1,[VOL. DO NOT READ] Don't know,0,a Supreme Court justice,1,Robert Mueller,1,[VOL. DO NOT READ] Don't know,0,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,4%,1,8,"Yes, have cell phone",NA,NA,2,Not employed,Married,No,Male,62,55-64,High school graduate (Grade 12 with diploma or GED certificate),HS Grad or less,No,White,White~Hisp,"$50,000 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Republican,NA,4.666666667
26,100179,Landline,62217,English,Rhode Island,Northeast,4,Suburban,Scott Pruitt,0,Theresa May,0,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Lincoln Group,0,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,4%,1,7,"Yes, have cell phone",NA,NA,2,Not employed,Married,No,Male,78,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Coll+,No,White,White~Hisp,"$75,000 to under $100,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Independent,Other/Don't know/Refused (VOL.),1.142857143
27,100183,Landline,62517,English,Minnesota,Midwest,Lowest,Suburban,Rex Tillerson,1,Emmanuel Macron,1,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,[VOL. DO NOT READ] Don't know,0,9,"No, do not","Yes, someone in household has cell phone",NA,2,Not employed,Married,No,Female,73,65+,High school graduate (Grade 12 with diploma or GED certificate),HS Grad or less,No,White,White~Hisp,"$20,000 to under $30,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Republican,NA,3.380952381
28,100185,Landline,62217,English,New York,Northeast,Highest,Urban,[VOL. DO NOT READ] Don't know,0,Malcolm Turnbull,0,a Supreme Court justice,1,James Comey,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,12%,0,4,"No, do not","Yes, someone in household has cell phone",NA,1,Employed part-time,Divorced,Yes,Female,44,35-44,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,White,White~Hisp,"$50,000 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,No preference (VOL.),Republican,4.19047619
29,100197,Landline,62217,English,Iowa,Midwest,3,Suburban,Rex Tillerson,1,Emmanuel Macron,1,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Tuesday Group,0,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,7%,0,8,"Yes, have cell phone",NA,NA,1,Not employed,Widowed,No,Male,68,65+,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,White,White~Hisp,Don't know/Refused (VOL.),Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Independent,Republican,1.047619048
30,100198,Landline,62217,English,Missouri,Midwest,Highest,Urban,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,Lead,1,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,Mosquitoes,1,[VOL. DO NOT READ] Don't know,0,7%,0,2,"Yes, have cell phone",NA,NA,1,Employed part-time,Separated,No,Male,67,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Coll+,No,Black or African-American,AA~Hisp,Don't know/Refused (VOL.),Are you NOT registered to vote at your current address,Don't know/Refused (VOL.),Other/Don't know/Refused (VOL.),1.047619048
31,100201,Landline,62217,English,Pennsylvania,Northeast,3,Suburban,Rex Tillerson,1,Emmanuel Macron,1,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,4%,1,10,"Yes, have cell phone",NA,NA,2,Employed full-time,Married,Yes,Male,43,35-44,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,White,White~Hisp,"$100,000 to under $150,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Independent,Republican,5.047619048
32,100206,Landline,62517,English,New Hampshire,Northeast,3,Urban,Rex Tillerson,1,Theresa May,0,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,4%,1,9,"Yes, have cell phone",NA,NA,2,Not employed,Married,No,Female,66,65+,"Some college, no degree (includes some community college)",Some coll/Assoc degree,No,White,White~Hisp,"$75,000 to under $100,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Independent,Republican,3.142857143
33,100209,Landline,62217,English,Massachusetts,Northeast,4,Suburban,Rex Tillerson,1,Emmanuel Macron,1,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,7%,0,9,"Yes, have cell phone",NA,NA,5,Employed part-time,Never been married,No,Female,23,18-24,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,White,White~Hisp,"$100,000 to under $150,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Independent,Democratic,2.666666667
34,100211,Landline,62217,English,Ohio,Midwest,4,Suburban,Rex Tillerson,1,Justin Trudeau,0,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,4%,1,9,"Yes, have cell phone",NA,NA,3,Not employed,Married,No,Female,64,55-64,"Some college, no degree (includes some community college)",Some coll/Assoc degree,No,White,White~Hisp,"$100,000 to under $150,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Republican,NA,4
35,100218,Landline,62217,English,Arkansas,South,2,Suburban,John Kerry,0,Theresa May,0,[VOL. DO NOT READ] Don't know,0,James Comey,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Refused,0,[VOL. DO NOT READ] Don't know,0,Mosquitoes,1,Paul Ryan,1,[VOL. DO NOT READ] Don't know,0,2,"Yes, have cell phone",NA,NA,2,Not employed,Married,No,Male,84,65+,"Some college, no degree (includes some community college)",Some coll/Assoc degree,No,White,White~Hisp,"$30,000 to under $40,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,1.714285714
36,100241,Landline,62217,English,Minnesota,Midwest,Highest,Suburban,Rex Tillerson,1,Emmanuel Macron,1,a Senator,0,James Comey,0,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Mitch McConnell,0,12%,0,6,"Yes, have cell phone",NA,NA,1,Not employed,Never been married,No,Female,57,55-64,High school graduate (Grade 12 with diploma or GED certificate),HS Grad or less,No,White,White~Hisp,"Less than $10,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Republican,NA,3.80952381
37,100243,Landline,62317,English,New Jersey,Northeast,Highest,Suburban,Scott Pruitt,0,Justin Trudeau,0,a Supreme Court justice,1,[VOL. DO NOT READ] Don't know,0,Mold,0,The Tuesday Group,0,Germany,0,Rodents,0,Paul Ryan,1,4%,1,3,"Yes, have cell phone",NA,NA,1,Not employed,Widowed,No,Female,89,65+,Two year associate degree from a college or university,Some coll/Assoc degree,No,White,White~Hisp,Don't know/Refused (VOL.),Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Republican,NA,1.380952381
38,100246,Landline,62217,English,Louisiana,South,Lowest,Suburban,Rex Tillerson,1,Emmanuel Macron,1,a Senator,0,Robert Mueller,1,Lead,1,The Tuesday Group,0,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,4%,1,8,"Yes, have cell phone",NA,NA,2,Not employed,Married,No,Female,58,55-64,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,White,White~Hisp,"$150,000 or over",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Republican,NA,2.095238095
39,100267,Landline,62217,English,Oklahoma,South,4,Urban,Rex Tillerson,1,Emmanuel Macron,1,the head of the EPA,0,Sean Spicer,0,Lead,1,The Freedom Caucus,1,Germany,0,Mosquitoes,1,Mitch McConnell,0,4%,1,6,"No, do not",No,NA,1,Not employed,Widowed,No,Female,74,65+,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,White,White~Hisp,"$40,000 to under $50,000",Are you NOT registered to vote at your current address,Democrat,NA,1
40,100277,Landline,62217,English,Kansas,Midwest,Lowest,Rural,Rex Tillerson,1,Malcolm Turnbull,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,Lead,1,[VOL. DO NOT READ] Don't know,0,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,12%,0,5,"Yes, have cell phone",NA,NA,2,Employed full-time,Married,No,Female,65,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Coll+,No,White,White~Hisp,Don't know/Refused (VOL.),Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Independent,Republican,1.380952381
41,100279,Landline,62217,English,Texas,South,Lowest,Rural,Rex Tillerson,1,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,Sean Spicer,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Refused,0,Mosquitoes,1,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,2,"No, do not",No,NA,1,Not employed,Never been married,No,Male,65,65+,Less than high school (Grades 1-8 or no formal schooling),HS Grad or less,No,White,White~Hisp,Don't know/Refused (VOL.),Are you NOT registered to vote at your current address,No preference (VOL.),Other/Don't know/Refused (VOL.),1.857142857
42,100285,Landline,62517,English,Mississippi,South,2,Suburban,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,the Solicitor General,0,[VOL. DO NOT READ] Don't know,0,Lead,1,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,Mosquitoes,1,[VOL. DO NOT READ] Don't know,0,12%,0,2,"Yes, have cell phone",NA,NA,1,Not employed,Widowed,No,Male,86,65+,"Some college, no degree (includes some community college)",Some coll/Assoc degree,No,White,White~Hisp,"$50,000 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Republican,NA,1
43,100294,Landline,62317,English,Tennessee,South,3,Urban,[VOL. DO NOT READ] Refused,0,Theresa May,0,[VOL. DO NOT READ] Refused,0,[VOL. DO NOT READ] Don't know,0,Lead,1,[VOL. DO NOT READ] Refused,0,The United Kingdom,1,Mosquitoes,1,[VOL. DO NOT READ] Don't know,0,17%,0,3,"Yes, have cell phone",NA,NA,1,Not employed,Don't know/Refused (VOL.),No,Female,73,65+,High school graduate (Grade 12 with diploma or GED certificate),HS Grad or less,Don't know/Refused (VOL.),Don't know/Refused (VOL.),DK/Ref,"Less than $10,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,1.238095238
44,100297,Landline,62217,English,Missouri,Midwest,Lowest,Rural,Rex Tillerson,1,Theresa May,0,a Supreme Court justice,1,Robert Mueller,1,Lead,1,[VOL. DO NOT READ] Refused,0,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,17%,0,7,"Yes, have cell phone",NA,NA,2,Not employed,Married,No,Male,81,65+,"Some college, no degree (includes some community college)",Some coll/Assoc degree,No,White,White~Hisp,"$50,000 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Other party (VOL.),Other/Don't know/Refused (VOL.),1.285714286
45,100303,Landline,62217,English,Maryland,South,Highest,Suburban,Rex Tillerson,1,Emmanuel Macron,1,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Tuesday Group,0,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,12%,0,8,"Yes, have cell phone",NA,NA,4,Employed full-time,Married,No,Male,59,55-64,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,Black or African-American,AA~Hisp,"$100,000 to under $150,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Republican,NA,2.238095238
46,100305,Landline,62417,English,South Carolina,South,2,Suburban,John Kerry,0,Emmanuel Macron,1,[VOL. DO NOT READ] Don't know,0,Robert Mueller,1,Lead,1,[VOL. DO NOT READ] Don't know,0,The United Kingdom,1,Mosquitoes,1,Mitch McConnell,0,17%,0,5,"No, do not",No,NA,2,Not employed,Divorced,No,Female,82,65+,High school graduate (Grade 12 with diploma or GED certificate),HS Grad or less,No,White,White~Hisp,"$20,000 to under $30,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,3.047619048
